check-in,check-out,TTT,LOS,Hotel Name,Price,Reviews,NumberOfNights,Locatins,Score,Score_in_the_description,priceBeforesale,Cancellation,prepayment,typeBed,DistanceFromCenter,Subway Access,Stars
26/03/2023,27/03/2023,1,1,Margaritaville Resort Times Square,625,"1,470",1,Manhattan,8.8,Excellent,NaN,Not Free,Yes,Deluxe King Room,1.5 km ,Subway Access,4
26/03/2023,27/03/2023,1,1,The Tillary Hotel Brooklyn,450,226,1,Downtown Brooklyn,7.5,Good,500,Not Free,Yes,Superior Double Room,8 km ,Subway Access,4
26/03/2023,27/03/2023,1,1,Pod Brooklyn,428,"2,888",1,Williamsburg,8.2,Very Good,NaN,Not Free,Yes,Queen Pod,6.2 km ,Subway Access,3
26/03/2023,27/03/2023,1,1,Sheraton Brooklyn New York,500,"1,815",1,Downtown Brooklyn,7.1,Good,NaN,Not Free,Yes,"Guest Room, 1 King",8.5 km ,Subway Access,4
26/03/2023,27/03/2023,1,1,Hyatt House Jersey City,722,"1,532",1,Jersey City,8.2,Very Good,NaN,Not Free,Yes,King Room,7.3 km ,,4
26/03/2023,27/03/2023,1,1,Holland Hotel Free Parking Jersey City,535,965,1,Jersey City,8.3,Very Good,NaN,Not Free,Yes,Double Room with Two Double Beds - Non-Smoking,6.5 km ,,3
26/03/2023,27/03/2023,1,1,Pod Times Square,392,"13,015",1,Hell's Kitchen,8.1,Very Good,NaN,Not Free,Yes,Bunk Pod,1.4 km ,Subway Access,4
26/03/2023,27/03/2023,1,1,The Herald 8 by LuxUrban,440,"2,389",1,Manhattan,7.8,Good,NaN,Free,Yes,King Room,2 km ,Subway Access,Error
26/03/2023,27/03/2023,1,1,The Tuscany Powered by LuxUrban,544,132,1,Murray Hill,7.8,Good,NaN,Free,Yes,Deluxe Studio,2.1 km ,Subway Access,4
26/03/2023,27/03/2023,1,1,Hilton Garden Inn New York Central Park South-Midtown West,547,"5,590",1,Manhattan,7.1,Good,NaN,Not Free,Yes,King Room - Hearing Accessible,450 m ,Subway Access,4
26/03/2023,27/03/2023,1,1,Ravel Hotel Trademark Collection by Wyndham,428,"2,907",1,Long Island City,7.8,Good,NaN,Not Free,Yes,Queen Room,3.2 km ,,4
26/03/2023,27/03/2023,1,1,Hotel 32 32,410,745,1,Manhattan,6.8,Review score,546,Not Free,Yes,Double Studio with balcony,2.4 km ,Subway Access,4
26/03/2023,27/03/2023,1,1,Penny Williamsburg,482,480,1,Williamsburg,8.8,Excellent,NaN,Not Free,Yes,Queen Accessible,6.3 km ,Subway Access,4
26/03/2023,27/03/2023,1,1,West Side YMCA,388,"7,618",1,Upper West Side,6.6,Review score,456,Not Free,Yes,Bunk Bed Room with Shared Bathroom,350 m ,Subway Access,3
26/03/2023,27/03/2023,1,1,City Club Hotel,330,"1,267",1,Manhattan,7.3,Good,NaN,Not Free,Yes,Petite Room,1.4 km ,Subway Access,4
26/03/2023,27/03/2023,1,1,SpringHill Suites by Marriott New York Midtown Manhattan/Park Ave,643,54,1,Flatiron District,8.1,Very Good,NaN,Not Free,Yes,"Studio, 1 King",3.1 km ,Subway Access,3
26/03/2023,27/03/2023,1,1,TownePlace Suites by Marriott New York Manhattan/Chelsea,500,"2,468",1,Chelsea,8.1,Very Good,NaN,Not Free,Yes,King Studio with Kitchenette,2.5 km ,Subway Access,4
26/03/2023,27/03/2023,1,1,Hampton Inn Manhattan Times Square North,500,"2,688",1,Hell's Kitchen,7.8,Good,NaN,Not Free,Yes,Queen Room,0.6 km ,Subway Access,3
26/03/2023,27/03/2023,1,1,TBA Times Square,450,"8,543",1,Hell's Kitchen,7.5,Good,NaN,Not Free,Yes,Deluxe King Studio,1.6 km ,Subway Access,3
26/03/2023,27/03/2023,1,1,Millennium Downtown New York,450,"3,672",1,Wall Street - Financial District,7.3,Good,NaN,Not Free,Yes,Queen Room with Roll-In Shower - Disability Access,6.8 km ,Subway Access,4
26/03/2023,27/03/2023,1,1,"The New Yorker, A Wyndham Hotel",502,"9,092",1,Hell's Kitchen,7.7,Good,NaN,Not Free,Yes,Standard Queen Room with View,2 km ,Subway Access,4
26/03/2023,27/03/2023,1,1,Hyatt Place New York City/Times Square,535,"15,257",1,Hell's Kitchen,7.6,Good,NaN,Not Free,Yes,King Room,1.7 km ,Subway Access,4
26/03/2023,27/03/2023,1,1,Millennium Hotel Broadway Times Square,461,"5,956",1,Manhattan,7,Good,512,Not Free,Yes,Standard King Room,1.3 km ,Subway Access,4
26/03/2023,27/03/2023,1,1,The Cloud One New York-Downtown,607,652,1,Wall Street - Financial District,8.2,Very Good,NaN,Not Free,Yes,Standard King Room,7 km ,Subway Access,4
26/03/2023,27/03/2023,1,1,Hilton Garden Inn Times Square,535,"2,195",1,Manhattan,7.5,Good,NaN,Not Free,Yes,Corner King Room,0.9 km ,Subway Access,3
26/03/2023,27/03/2023,1,1,Hampton Inn Brooklyn Downtown,607,"1,807",1,Downtown Brooklyn,8.4,Very Good,NaN,Not Free,Yes,1 King with Fridge - Non-Smoking,8.1 km ,Subway Access,3
26/03/2023,27/03/2023,1,1,"Hotel Shocard Broadway, Times Square",323,"1,072",1,Manhattan,7.6,Good,NaN,Not Free,Yes,Queen Room,1.5 km ,Subway Access,3
26/03/2023,27/03/2023,1,1,M Social Hotel Times Square New York,643,"5,690",1,Manhattan,8.4,Very Good,NaN,Not Free,Yes,Social City View King,0.6 km ,Subway Access,4
26/03/2023,27/03/2023,1,1,Hotel Edison Times Square,450,"11,138",1,Manhattan,7.3,Good,500,Not Free,Yes,Classic 1 Queen Bed,1 km ,Subway Access,4
26/03/2023,27/03/2023,1,1,The Belvedere Hotel,464,"3,722",1,Hell's Kitchen,8.1,Very Good,NaN,Not Free,Yes,Standard King Room,0.9 km ,Subway Access,4
26/03/2023,27/03/2023,1,1,"Crowne Plaza Times Square Manhattan, an IHG Hotel",571,"1,500",1,Manhattan,7.7,Good,NaN,Not Free,Yes,Traditional King Room - Non-Smoking,0.9 km ,Subway Access,4
26/03/2023,27/03/2023,1,1,Hilton Garden Inn New York - Times Square Central,535,"1,575",1,Manhattan,7.6,Good,NaN,Not Free,Yes,Queen Room,1.5 km ,Subway Access,3
26/03/2023,27/03/2023,1,1,Nolitan Hotel SoHo - New York,511,"1,155",1,SoHo,7.9,Good,NaN,Not Free,Yes,Deluxe Queen Room,5.4 km ,Subway Access,4
26/03/2023,27/03/2023,1,1,Sheraton Tribeca New York Hotel,485,"2,451",1,Tribeca,7.6,Good,NaN,Not Free,Yes,Double Room with 2 Double Beds,5.6 km ,Subway Access,4
26/03/2023,27/03/2023,1,1,Royalton New York,683,"1,410",1,Manhattan,7.6,Good,NaN,Not Free,Yes,Standard Queen Room,1.4 km ,Subway Access,4
26/03/2023,27/03/2023,1,1,Hyatt Regency Jersey City,967,889,1,Jersey City,8,Very Good,NaN,Not Free,Yes,King Room,7.1 km ,,4
26/03/2023,27/03/2023,1,1,SpringHill Suites by Marriott New York Manhattan Chelsea,535,"4,017",1,Chelsea,8.2,Very Good,NaN,Not Free,Yes,King Room,2.5 km ,Subway Access,4
26/03/2023,27/03/2023,1,1,Wingate by Wyndham New York Midtown South/5th Ave,509,"1,519",1,Manhattan,7.9,Good,NaN,Not Free,Yes,King Room - Non-Smoking,1.9 km ,Subway Access,3
26/03/2023,27/03/2023,1,1,Courtyard By Marriott Jersey City Newport,823,418,1,Newport,8.3,Very Good,NaN,Not Free,Yes,King Room with Sofa Bed,6.3 km ,,3
26/03/2023,27/03/2023,1,1,Courtyard New York Downtown Manhattan/Financial District,392,617,1,Wall Street - Financial District,7.3,Good,NaN,Not Free,Yes,"Guest room, 1 King, City view",7.1 km ,Subway Access,3
26/03/2023,27/03/2023,1,1,Hilton New York Times Square,600,98,1,Manhattan,8,Very Good,NaN,Not Free,Yes,King Room with City View and Mobility Accessible Bathtub,1.4 km ,Subway Access,4
26/03/2023,27/03/2023,1,1,Sonesta Simply Suites Jersey City,666,656,1,Jersey City,8.5,Very Good,NaN,Not Free,Yes,Studio Queen Suite with Roll-In Shower - Mobility Accessible,6.8 km ,,3
26/03/2023,27/03/2023,1,1,"Club Quarters Hotel Times Square, New York",535,"2,551",1,Manhattan,7.8,Good,NaN,Not Free,Yes,Queen Room,1.3 km ,Subway Access,4
26/03/2023,27/03/2023,1,1,Empire Hotel,456,"2,547",1,Upper West Side,6.8,Review score,607,Not Free,Yes,Standard Queen Room,400 m ,Subway Access,4
26/03/2023,27/03/2023,1,1,YOTEL New York Times Square,482,"3,832",1,Hell's Kitchen,7.1,Good,536,Not Free,Yes,Premium Queen,1.5 km ,,4
26/03/2023,27/03/2023,1,1,DoubleTree by Hilton Hotel New York City - Chelsea,425,"1,251",1,Chelsea,7.3,Good,NaN,Not Free,Yes,King Room,2.5 km ,Subway Access,4
26/03/2023,27/03/2023,1,1,Fairfield Inn by Marriott New York Manhattan/Financial District,464,"2,301",1,Wall Street - Financial District,7.5,Good,NaN,Not Free,Yes,King Room,7.2 km ,Subway Access,3
26/03/2023,27/03/2023,1,1,Courtyard by Marriott New York Manhattan/Central Park,733,"3,382",1,Manhattan,8.2,Very Good,NaN,Not Free,Yes,King Room - City View,450 m ,Subway Access,4
26/03/2023,27/03/2023,1,1,"The Jewel Hotel, New York",550,"1,679",1,Manhattan,8.5,Very Good,NaN,Not Free,Yes,Premier Room,1 km ,Subway Access,4
26/03/2023,27/03/2023,1,1,The FIDI Hotel,464,23,1,Wall Street - Financial District,8.9,Excellent,NaN,Not Free,Yes,Standard Full,7.6 km ,Subway Access,4
26/03/2023,27/03/2023,1,1,Hyatt Place Long Island City,535,898,1,Long Island City,8.5,Very Good,NaN,Not Free,Yes,King Room,4.1 km ,Subway Access,3
26/03/2023,27/03/2023,1,1,The Manhattan at Times Square,299,"4,147",1,Manhattan,5.6,Review score,428,Not Free,Yes,Standard Queen Room,0.7 km ,Subway Access,4
26/03/2023,27/03/2023,1,1,Lex Hotel NYC,428,606,1,Kips Bay,8.1,Very Good,NaN,Not Free,Yes,Queen Room,3 km ,Subway Access,3
26/03/2023,27/03/2023,1,1,Park Central,543,"2,610",1,Manhattan,7.6,Good,NaN,Not Free,Yes,Classic King Room,400 m ,Subway Access,4
26/03/2023,27/03/2023,1,1,Hyatt Union Square New York,751,252,1,Union Square,7.7,Good,NaN,Not Free,Yes,King Room - Courtyard View,3.9 km ,Subway Access,4
26/03/2023,27/03/2023,1,1,"Club Quarters Hotel Grand Central, New York",546,"2,368",1,Midtown East,8,Very Good,NaN,Not Free,Yes,Small Queen Room,1.8 km ,Subway Access,4
26/03/2023,27/03/2023,1,1,Element Times Square West,535,"5,532",1,Hell's Kitchen,7.5,Good,NaN,Not Free,Yes,"Guest Room, 1 King",1.6 km ,Subway Access,4
26/03/2023,27/03/2023,1,1,Canopy By Hilton Jersey City Arts District,862,669,1,Downtown Jersey City,8.9,Excellent,NaN,Not Free,Yes,Queen Room with Two Queen Beds - Hearing Accessible,7.3 km ,,4
26/03/2023,27/03/2023,1,1,SoHo 54,356,"1,570",1,SoHo,6.8,Review score,NaN,Not Free,Yes,SoHo King,5.3 km ,Subway Access,3
26/03/2023,27/03/2023,1,1,Wyndham Garden Long Island City,643,696,1,Long Island City,7.5,Good,NaN,Not Free,Yes,Standard King Room,3.2 km ,Subway Access,3
26/03/2023,27/03/2023,1,1,MOXY NYC Times Square,643,"8,724",1,Manhattan,8,Very Good,NaN,Not Free,Yes,Double Room,1.9 km ,Subway Access,4
26/03/2023,27/03/2023,1,1,Hilton Garden Inn NYC Financial Center/Manhattan Downtown,428,"2,991",1,Wall Street - Financial District,8.5,Very Good,NaN,Not Free,Yes,King Room,7.7 km ,Subway Access,4
26/03/2023,27/03/2023,1,1,Royalton Park Avenue,676,980,1,NoMad,8.2,Very Good,NaN,Not Free,Yes,Superior Queen Room,2.7 km ,Subway Access,5
26/03/2023,27/03/2023,1,1,"Holiday Inn Express & Suites Jersey City - Holland Tunnel, an IHG Hotel",467,"1,298",1,Jersey City,8.2,Very Good,NaN,Not Free,Yes,Standard King Room - Non-Smoking,6.4 km ,,3
26/03/2023,27/03/2023,1,1,Four Points by Sheraton Manhattan SoHo Village,392,792,1,SoHo,7.6,Good,NaN,Not Free,Yes,"Guest Room, 1 King",5 km ,Subway Access,3
26/03/2023,27/03/2023,1,1,"Marriott Vacation Club Pulse, New York City",715,126,1,Manhattan,8.9,Excellent,NaN,Not Free,Yes,Queen Room with Transfer Shower - Mobility Accessible,1.9 km ,Subway Access,4
26/03/2023,27/03/2023,1,1,Hilton Brooklyn New York,643,733,1,Boerum Hill,8.2,Very Good,NaN,Not Free,Yes,Queen Room with Two Queen Beds,8.8 km ,Subway Access,4
26/03/2023,27/03/2023,1,1,Hilton Garden Inn New York/Midtown Park Avenue,503,874,1,Manhattan,8,Very Good,NaN,Not Free,Yes,King Room,2.4 km ,Subway Access,3
26/03/2023,27/03/2023,1,1,Pod 51,392,"7,130",1,Midtown East,7.8,Good,NaN,Not Free,Yes,Standard Bunk Bed Room with Shared Bathroom,1.7 km ,Subway Access,3
26/03/2023,27/03/2023,1,1,"InterContinental New York Barclay Hotel, an IHG Hotel",751,910,1,Midtown East,8,Very Good,NaN,Not Free,Yes,Classic Queen Room,1.5 km ,Subway Access,5
26/03/2023,27/03/2023,1,1,La Quinta by Wyndham Time Square South,482,"2,137",1,Hell's Kitchen,8.1,Very Good,NaN,Not Free,Yes,King Room - Non-Smoking,1.7 km ,Subway Access,3
26/03/2023,27/03/2023,1,1,Citadines Connect Fifth Avenue New York,543,"2,920",1,Manhattan,7.7,Good,NaN,Not Free,Yes,Premier King Room,1.4 km ,Subway Access,3
26/03/2023,27/03/2023,1,1,Courtyard by Marriott New York Manhattan/ Fifth Avenue,546,700,1,Manhattan,7.9,Good,NaN,Not Free,Yes,Double Room with Two Double Beds,1.8 km ,Subway Access,4
26/03/2023,27/03/2023,1,1,Park Terrace Hotel,773,"2,417",1,Manhattan,8.7,Excellent,NaN,Not Free,Yes,Classic Room,1.7 km ,Subway Access,4
26/03/2023,27/03/2023,1,1,DoubleTree by Hilton Hotel & Suites Jersey City,751,382,1,Jersey City,8.6,Excellent,NaN,Not Free,Yes,Junior Double Suite,6.8 km ,,3
26/03/2023,27/03/2023,1,1,Soho Grand Hotel,716,"1,231",1,SoHo,8.3,Very Good,895,Not Free,Yes,Soho King Room,5.5 km ,Subway Access,4
26/03/2023,27/03/2023,1,1,"The Draper New York, Tapestry Collection by Hilton",679,"1,041",1,Manhattan,8.4,Very Good,NaN,Not Free,Yes,King Room with Bath Tub - Mobility/Hearing Access,1.9 km ,Subway Access,3
26/03/2023,27/03/2023,1,1,Fairfield Inn & Suites by Marriott New York Manhattan/Times Square South,535,"5,222",1,Hell's Kitchen,8,Very Good,NaN,Not Free,Yes,1 King Bed,1.9 km ,Subway Access,4
26/03/2023,27/03/2023,1,1,Courtyard by Marriott New York Manhattan / Soho,715,274,1,SoHo,7.9,Good,NaN,Not Free,Yes,King Room with Roll-in Shower - Mobility and Hearing Accessible,4.9 km ,Subway Access,4
26/03/2023,27/03/2023,1,1,DoubleTree by Hilton New York Times Square South,557,"4,470",1,Hell's Kitchen,7.9,Good,NaN,Not Free,Yes,King Room,1.8 km ,Subway Access,4
26/03/2023,27/03/2023,1,1,CIVILIAN Hotel,751,"1,274",1,Hell's Kitchen,8.5,Very Good,NaN,Not Free,Yes,Double Room,0.9 km ,Subway Access,4
