check-in,check-out,TTT,LOS,Hotel Name,Price,Reviews,NumberOfNights,Locatins,Score,Score_in_the_description,priceBeforesale,Cancellation,prepayment,typeBed,DistanceFromCenter,Subway Access,Stars
19/03/2023,20/03/2023,1,1,The Evelyn NoMad,629,"2,610",1,NoMad,7.6,Good,899,Not Free,Yes,Superior Queen Room,2.7 km ,Subway Access,5
19/03/2023,20/03/2023,1,1,Margaritaville Resort Times Square,583,"1,444",1,Manhattan,8.8,Excellent,NaN,Not Free,Yes,Standard King Room,1.5 km ,Subway Access,4
19/03/2023,20/03/2023,1,1,West Side YMCA,365,"7,542",1,Upper West Side,6.6,Review score,429,Not Free,Yes,Bunk Bed Room with Shared Bathroom,350 m ,Subway Access,3
19/03/2023,20/03/2023,1,1,The Tuscany Powered by LuxUrban,557,107,1,Murray Hill,7.9,Good,NaN,Free,Yes,Deluxe Studio,2.1 km ,Subway Access,4
19/03/2023,20/03/2023,1,1,Hilton Garden Inn Times Square,510,"2,184",1,Manhattan,7.5,Good,NaN,Not Free,Yes,Queen Room,0.9 km ,Subway Access,3
19/03/2023,20/03/2023,1,1,Riu Plaza Manhattan Times Square,581,"6,650",1,Manhattan,8.6,Excellent,807,Not Free,Yes,Deluxe King,1 km ,Subway Access,4
19/03/2023,20/03/2023,1,1,U Hotel Fifth Avenue I Empire State Building,366,"1,711",1,Manhattan,7.9,Good,NaN,Not Free,Yes,Queen Room,2.1 km ,Subway Access,3
19/03/2023,20/03/2023,1,1,City Club Hotel,347,"1,256",1,Manhattan,7.3,Good,NaN,Not Free,Yes,Petite Room,1.4 km ,Subway Access,4
19/03/2023,20/03/2023,1,1,"The Draper New York, Tapestry Collection by Hilton",510,"1,031",1,Manhattan,8.4,Very Good,NaN,Not Free,Yes,King Room,1.9 km ,Subway Access,3
19/03/2023,20/03/2023,1,1,YOTEL New York Times Square,376,"3,811",1,Hell's Kitchen,7.1,Good,418,Not Free,Yes,Empire State Building View,1.5 km ,,4
19/03/2023,20/03/2023,1,1,Millennium Hotel Broadway Times Square,470,"5,914",1,Manhattan,7,Good,523,Not Free,Yes,Standard King Room,1.3 km ,Subway Access,4
19/03/2023,20/03/2023,1,1,Hotel Edison Times Square,473,"11,100",1,Manhattan,7.3,Good,NaN,Not Free,Yes,Classic 1 Queen Bed,1 km ,Subway Access,4
19/03/2023,20/03/2023,1,1,The Cloud One New York-Downtown,620,582,1,Wall Street - Financial District,8.2,Very Good,NaN,Not Free,Yes,Standard King Room,7 km ,Subway Access,4
19/03/2023,20/03/2023,1,1,"Hotel Shocard Broadway, Times Square",330,"1,056",1,Manhattan,7.6,Good,NaN,Not Free,Yes,Queen Room,1.5 km ,Subway Access,3
19/03/2023,20/03/2023,1,1,"The New Yorker, A Wyndham Hotel",546,"9,013",1,Hell's Kitchen,7.7,Good,NaN,Not Free,Yes,Standard Queen Room,2 km ,Subway Access,4
19/03/2023,20/03/2023,1,1,The Belvedere Hotel,473,"3,690",1,Hell's Kitchen,8,Very Good,NaN,Not Free,Yes,Standard King Room,0.9 km ,Subway Access,4
19/03/2023,20/03/2023,1,1,TownePlace Suites by Marriott New York Manhattan/Chelsea,546,"2,417",1,Chelsea,8.1,Very Good,NaN,Not Free,Yes,King Studio with Kitchenette,2.5 km ,Subway Access,4
19/03/2023,20/03/2023,1,1,Hyatt Place New York City/Times Square,583,"15,115",1,Hell's Kitchen,7.6,Good,NaN,Not Free,Yes,King Room,1.7 km ,Subway Access,4
19/03/2023,20/03/2023,1,1,M Social Hotel Times Square New York,656,"5,632",1,Manhattan,8.4,Very Good,NaN,Not Free,Yes,Social City View King,0.6 km ,Subway Access,4
19/03/2023,20/03/2023,1,1,Wingate by Wyndham New York Midtown South/5th Ave,484,"1,505",1,Manhattan,7.9,Good,NaN,Not Free,Yes,King Room with Roll-In Shower - Mobility/Hearing Accessible - Non-Smoking,1.9 km ,Subway Access,3
19/03/2023,20/03/2023,1,1,TBA Times Square,459,"8,416",1,Hell's Kitchen,7.5,Good,NaN,Not Free,Yes,Deluxe King Studio,1.6 km ,Subway Access,3
19/03/2023,20/03/2023,1,1,Millennium Downtown New York,492,"3,630",1,Wall Street - Financial District,7.3,Good,NaN,Not Free,Yes,Superior King Room,6.8 km ,Subway Access,4
19/03/2023,20/03/2023,1,1,Nolitan Hotel SoHo - New York,550,"1,153",1,SoHo,7.9,Good,NaN,Not Free,Yes,Deluxe Queen Room,5.4 km ,Subway Access,4
19/03/2023,20/03/2023,1,1,Courtyard New York Downtown Manhattan/Financial District,400,602,1,Wall Street - Financial District,7.3,Good,NaN,Not Free,Yes,"Guest room, 1 King, City view",7.1 km ,Subway Access,3
19/03/2023,20/03/2023,1,1,Hyatt Place NYC Chelsea,583,"6,673",1,Chelsea,8,Very Good,NaN,Not Free,Yes,King Room,2.8 km ,Subway Access,4
19/03/2023,20/03/2023,1,1,Fairfield Inn by Marriott New York Manhattan/Financial District,473,"2,275",1,Wall Street - Financial District,7.5,Good,NaN,Not Free,Yes,King Room,7.2 km ,Subway Access,3
19/03/2023,20/03/2023,1,1,Lex Hotel NYC,473,595,1,Kips Bay,8.1,Very Good,NaN,Not Free,Yes,Queen Room,3 km ,Subway Access,3
19/03/2023,20/03/2023,1,1,Hilton Garden Inn New York Central Park South-Midtown West,591,"5,538",1,Manhattan,7.1,Good,NaN,Not Free,Yes,King Room,450 m ,Subway Access,4
19/03/2023,20/03/2023,1,1,Hilton Garden Inn New York - Times Square Central,565,"1,555",1,Manhattan,7.6,Good,NaN,Not Free,Yes,King Room,1.5 km ,Subway Access,3
19/03/2023,20/03/2023,1,1,SpringHill Suites by Marriott New York Manhattan Chelsea,583,"3,927",1,Chelsea,8.2,Very Good,NaN,Not Free,Yes,King Room,2.5 km ,Subway Access,4
19/03/2023,20/03/2023,1,1,Four Points by Sheraton Manhattan SoHo Village,473,788,1,SoHo,7.6,Good,NaN,Not Free,Yes,"Guest Room, 1 King",5 km ,Subway Access,3
19/03/2023,20/03/2023,1,1,Hotel 32 32,666,743,1,Manhattan,6.8,Review score,887,Not Free,Yes,Double Studio with balcony,2.4 km ,Subway Access,4
19/03/2023,20/03/2023,1,1,SoHo 54,363,"1,553",1,SoHo,6.8,Review score,NaN,Not Free,Yes,SoHo King,5.3 km ,Subway Access,3
19/03/2023,20/03/2023,1,1,Hyatt Union Square New York,803,250,1,Union Square,7.7,Good,NaN,Not Free,Yes,King Room - Courtyard View,3.9 km ,Subway Access,4
19/03/2023,20/03/2023,1,1,Sheraton Tribeca New York Hotel,557,"2,437",1,Tribeca,7.6,Good,NaN,Not Free,Yes,Double Room with 2 Double Beds,5.6 km ,Subway Access,4
19/03/2023,20/03/2023,1,1,Fairfield Inn & Suites by Marriott New York Midtown Manhattan/Penn Station,587,"3,969",1,Hell's Kitchen,8.2,Very Good,NaN,Not Free,Yes,King Room,2.1 km ,Subway Access,4
19/03/2023,20/03/2023,1,1,Fairfield Inn & Suites by Marriott New York Manhattan/Fifth Avenue,363,465,1,Manhattan,7.4,Good,NaN,Not Free,Yes,King Room,1.9 km ,Subway Access,3
19/03/2023,20/03/2023,1,1,CIVILIAN Hotel,620,"1,233",1,Hell's Kitchen,8.5,Very Good,NaN,Not Free,Yes,Double Room,0.9 km ,Subway Access,4
19/03/2023,20/03/2023,1,1,Square Hotel at Times Square,546,"2,380",1,Manhattan,7,Good,NaN,Not Free,Yes,Standard Queen Room,0.8 km ,Subway Access,3
19/03/2023,20/03/2023,1,1,MOXY NYC Times Square,546,"8,719",1,Manhattan,8,Very Good,NaN,Not Free,Yes,Double Room,1.9 km ,Subway Access,4
19/03/2023,20/03/2023,1,1,Hilton Garden Inn New York/Midtown Park Avenue,513,867,1,Manhattan,8,Very Good,NaN,Not Free,Yes,King Room,2.4 km ,Subway Access,3
19/03/2023,20/03/2023,1,1,citizenM New York Times Square,656,"2,751",1,Manhattan,8.7,Excellent,NaN,Not Free,Yes,King Room,0.8 km ,Subway Access,4
19/03/2023,20/03/2023,1,1,Pod 51,400,"7,063",1,Midtown East,7.8,Good,NaN,Not Free,Yes,Standard Bunk Bed Room with Shared Bathroom,1.7 km ,Subway Access,3
19/03/2023,20/03/2023,1,1,La Quinta by Wyndham Time Square South,459,"2,102",1,Hell's Kitchen,8.1,Very Good,NaN,Not Free,Yes,King Room - Non-Smoking,1.7 km ,Subway Access,3
19/03/2023,20/03/2023,1,1,Aloft Manhattan Downtown - Financial District,400,"1,109",1,Wall Street - Financial District,7.5,Good,NaN,Not Free,Yes,"Guest Room, 1 King",6.8 km ,Subway Access,4
19/03/2023,20/03/2023,1,1,33 Seaport Hotel New York,807,280,1,Wall Street - Financial District,8.6,Excellent,950,Not Free,Yes,Superior Courtyard King,6.9 km ,,5
19/03/2023,20/03/2023,1,1,The Manhattan at Times Square,496,"4,086",1,Manhattan,5.6,Review score,620,Not Free,Yes,Run of House,0.7 km ,Subway Access,4
19/03/2023,20/03/2023,1,1,Dylan Hotel NYC,589,"2,339",1,Murray Hill,7.8,Good,693,Not Free,Yes,Luxury Queen Room,1.8 km ,Subway Access,4
19/03/2023,20/03/2023,1,1,Hotel Indigo Lower East Side New York,546,729,1,Lower East Side,7.6,Good,NaN,Not Free,Yes,Queen Room,5.2 km ,Subway Access,4
19/03/2023,20/03/2023,1,1,"Club Quarters Hotel Times Square, New York",583,"2,531",1,Manhattan,7.8,Good,NaN,Not Free,Yes,Queen Room,1.3 km ,Subway Access,4
19/03/2023,20/03/2023,1,1,Executive Hotel Le Soleil New York,583,"2,493",1,Manhattan,8.2,Very Good,NaN,Not Free,Yes,Executive Queen Room,2 km ,Subway Access,4
19/03/2023,20/03/2023,1,1,Pod 39,400,"5,995",1,Murray Hill,8.1,Very Good,NaN,Not Free,Yes,Bunk Bed Room,2.1 km ,Subway Access,3
19/03/2023,20/03/2023,1,1,Pestana CR7 Times Square,510,"1,389",1,Hell's Kitchen,8.1,Very Good,638,Not Free,Yes,Comfort Room,1.6 km ,Subway Access,4
19/03/2023,20/03/2023,1,1,Park Terrace Hotel,840,"2,399",1,Manhattan,8.7,Excellent,NaN,Not Free,Yes,Classic Room,1.7 km ,Subway Access,4
19/03/2023,20/03/2023,1,1,Leo House,555,"2,936",1,Chelsea,7.8,Good,NaN,Not Free,Yes,Double Room with Shared Bathroom,2.9 km ,Subway Access,3
19/03/2023,20/03/2023,1,1,Fairfield Inn & Suites by Marriott New York Manhattan/Times Square South,546,"5,200",1,Hell's Kitchen,8,Very Good,NaN,Not Free,Yes,1 King Bed,1.9 km ,Subway Access,4
19/03/2023,20/03/2023,1,1,SpringHill Suites by Marriott New York Midtown Manhattan/Park Ave,656,54,1,Flatiron District,8.1,Very Good,NaN,Not Free,Yes,"Studio, 1 King",3.1 km ,Subway Access,3
